"","ID","mean"
"1",1,186.826086956522
"2",2,21.1521739130435
"3",3,268.608695652174
"4",4,282.695652173913
"5",5,141.739130434783
"6",6,243.608695652174
"7",7,196.086956521739
"8",8,202.478260869565
"9",9,312.04347826087
"10",10,241.521739130435
"11",11,230.130434782609
"12",12,341.586956521739
"13",13,239.326086956522
"14",14,270.891304347826
"15",15,256.434782608696
"16",16,274.152173913043
"17",17,356.869565217391
"18",18,224.021739130435
"19",19,266.282608695652
"20",20,198
"21",21,276.304347826087
"22",22,194.478260869565
"23",23,321.869565217391
"24",24,341.434782608696
"25",25,253.717391304348
"26",26,373.391304347826
"27",27,88.4782608695652
"28",28,184.630434782609
"29",29,311.5
"30",30,352.521739130435
"31",31,289.391304347826
"32",32,183.739130434783
"33",33,179.804347826087
"34",34,168.695652173913
"35",35,275.978260869565
"36",36,316.521739130435
"37",37,412.739130434783
"38",38,309.239130434783
"39",39,39.4347826086956
"40",40,245.326086956522
"41",41,328.108695652174
"42",42,117.065217391304
"43",43,153.847826086957
"44",44,304.913043478261
"45",45,181.5
"46",46,311.565217391304
"47",47,188.978260869565
"48",48,298.086956521739
"49",49,266.195652173913
"50",50,179.695652173913
"51",51,141.304347826087
"52",52,278.326086956522
"53",53,188.913043478261
"54",54,203.108695652174
"55",55,2.56521739130435
"56",56,224.152173913043
"57",57,236.869565217391
"58",58,295.086956521739
"59",59,288.739130434783
"60",60,328.260869565217
"61",61,306.065217391304
"62",62,185.695652173913
"63",63,192.260869565217
"64",64,326.152173913043
"65",65,368.717391304348
"66",66,405.369565217391
"67",67,285.804347826087
"68",68,397.5
"69",69,318.739130434783
"70",70,341.434782608696
"71",71,296.586956521739
"72",72,162.434782608696
"73",73,194.695652173913
"74",74,187.826086956522
"75",75,302.608695652174
"76",76,382.934782608696
"77",77,168.239130434783
"78",78,201.434782608696
"79",79,229.586956521739
"80",80,288.108695652174
"81",81,437.04347826087
"82",82,277.608695652174
"83",83,201.413043478261
"84",84,274.652173913043
"85",85,274.369565217391
"86",86,337.782608695652
"87",87,275.652173913043
"88",88,219.739130434783
"89",89,0
"90",90,262.782608695652
"91",91,376.673913043478
"92",92,194.54347826087
"93",93,0
"94",94,216.565217391304
"95",95,211.04347826087
"96",96,0
"97",97,273.760869565217
"98",98,55.9565217391304
"99",99,303.108695652174
"100",100,235.891304347826
"101",101,205.54347826087
"102",102,289.565217391304
"103",103,256.630434782609
"104",104,193.804347826087
"105",105,356.021739130435
"106",106,265.260869565217
"107",107,241.521739130435
"108",108,281.54347826087
"109",109,273.195652173913
"110",110,0
"111",111,227.565217391304
"112",112,227.565217391304
"113",113,0
"114",114,55.9565217391304
"115",115,55.9565217391304
"116",116,236.195652173913
"117",117,108.478260869565
"118",118,34.5217391304348
"119",119,34.5217391304348
"120",120,45.4130434782609
"121",121,45.4130434782609
"122",122,83.4347826086957
"123",123,0
"124",124,290.608695652174
"125",125,285.934782608696
"126",126,282
"127",127,306.065217391304
"128",128,239.326086956522
"129",129,268.608695652174
"130",130,141.282608695652
"131",131,227.021739130435
"132",132,266.195652173913
"133",133,194.478260869565
"134",134,311.565217391304
"135",135,179.804347826087
"136",136,247.978260869565
"137",137,296.586956521739
"138",138,337.108695652174
"139",139,162.434782608696
"140",140,380.021739130435
"141",141,188.913043478261
"142",142,194.695652173913
"143",143,168.239130434783
"144",144,110.239130434783
"145",145,24.195652173913
"146",146,427.434782608696
"147",147,307.869565217391
"148",148,188.978260869565
"149",149,295.173913043478
