IND,long,lat,POP
T7_4,-38.293336,-7.984104,Caanga
T7_14,-40.45,-7.816667,Caanga
T7_15,-34.908197,-7.515772,Caanga
T7_22,-51.568852,-16.379106,Cerado
T8_7,-45.933155,-12.10686,Cerado
T8_9,-54.4,-1.2,Uatsts
T8_11,-46.90484,-16.358871,Cerado
T17_18,-46.885696,-11.22096,Cerado
T8_16,-47.521893,-14.707946,Cerado
T8_18,-55.718592,-15.432171,Cerado
T8_20,-47.57648056,-16.78924444,Cerado
T8_22,-45.324882,-18.1901,Cerado
T8_24,-48.382608,-12.36152,Cerado
T9_3,-44.114265,-13.273384,Cerado
T17_22,-73.66144,-7.43108,Sousts
T5_16,-47.75906,-12.75309,Cerado
T9_15,-59.448055,5.204443,Guists
T9_19,-58.675,4.663883,Guists
T9_22,-60.4833,7.3666,Guists
T10_1,-69.08333588,-12.58333302,Sousts
T10_6,-57.35,-22.666667,Cerado
T11_1,-63.987031,-23.331633,Dryaco
T12_1,-60.2917,-12.12391,Cerado
T12_5,-46.63378,-14.57072,Cerado
T12_7,-48.02176,-16.55405,Cerado
T18_10,-56.666667,-3.8,Madsts
T18_12,-52.535174,-0.867701,Pursts
T12_27,-55.1833,4.950533,Guists
T12_33,-52.452031,4.548169,Guists
T12_35,-59.285268,4.77606,Guists
T12_37,-61.406256,2.01885,Guists
T12_41,-65.721811,-8.346214,Pursts
T12_44,-54.964639,-2.48775,Madsts
T12_46,-65.715731,-8.347436,Pursts
T12_51,-59.901528,-3.512256,Pursts
T12_53,-64.55,-10.316667,Madsts
T14_3,-60.25,-2.533333,Uatsts
T14_5,-58.635,-4.34416667,Madsts
T14_8,-61.81583333,-4.31044444,Monzea
T14_10,-60.221084,-5.80135,Madsts
T14_12,-62.35878,-4.9347,Pursts
T14_14,-60.465741,-6.602066,Madsts
T14_16,-58.220563,-4.596866,Madsts
T14_18,-58.636303,-4.308816,Madsts
T14_20,-62.309074,-4.702148,Monzea
T15_2,-41.949527,-14.933571,Caanga
T15_4,-39.711946,-13.578512,Bahsts
T15_7,-42.720249,-11.111453,Caanga
T15_10,-39.116646,-16.549992,Bahsts
T15_13,-40.086252,-19.441661,Bahsts
T15_15,-47.94076111,-18.1741,Cerado
